0,1,2,3,4,5
For the year ended 31 March,Note,2020,2019,2020,2019
In LKR '000s,,,,,
Continuing operations,,,,,
Revenue from contracts with customers,,"128,921,632","124,818,922","1,462,190","1,721,687"
Revenue from insurance contracts,,"11,120,928","10,637,226",-,-
Total revenue,14,"140,042,560","135,456,148","1,462,190","1,721,687"
Cost of sales,,"(113,960,929)","(107,668,833)","(995,038)","(839,306)"
Gross profit,,"26,081,631","27,787,315","467,152","882,381"
Dividend income,15,-,-,"6,367,610","7,187,071"
Other operating income,16.1,"2,241,751","1,925,698","45,737","266,834"
Selling and distribution expenses,,"(5,518,526)","(5,939,294)",-,-
Administrative expenses,,"(13,143,112)","(12,411,130)","(1,186,005)","(1,263,484)"
Other operating expenses,16.2,"(2,872,908)","(3,705,496)","(25,939)","(98,354)"
Results from operating activities,,"6,788,836","7,657,093","5,668,555","6,974,448"
Finance cost,17,"(3,165,519)","(2,722,289)","(237,046)","(184,544)"
Finance income,17,"9,357,342","12,051,601","3,822,342","6,351,370"
Change in insurance contract liabilities,36.2,"(5,617,431)","(3,422,893)",-,-
Change in fair value of investment property,24,"573,373","324,653",-,-
Share of results of equity accounted investees (net of tax),27.3,"4,466,457","4,727,345",-,-
Profit before tax,,"12,403,058","18,615,510","9,253,851","13,141,274"
Tax expense,21.1,"(2,662,263)","(2,378,114)","(614,311)","(1,139,058)"
Profit for the year,,"9,740,795","16,237,396","8,639,540","12,002,216"
Attributable to:,,,,,
Equity holders of the parent,,"9,413,788","15,254,126",,
Non-controlling interests,,"327,007","983,270",,
,,"9,740,795","16,237,396",,
,,LKR.,LKR.,,
Earnings per share,,,,,
Basic,19.1,7.14,11.13,,
Diluted,19.2,7.14,11.13,,
Dividend per share,20,3.50,6.00,,
