0,1,2,3,4
,Number of Shares,%,Number of Shares,%
Mr S E Captain,"153,211,107",11.62,"152,991,389",11.61
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,"141,854,717",10.76,-,-
Melstacorp PLC,"128,917,111",9.78,"128,572,406",9.75
Paints & General Industries Limited,"93,787,615",7.11,"86,673,704",6.58
Schroder International Selection Fund,"42,475,806",3.22,"42,417,426",3.22
HWIC Asia Fund,"39,250,982",2.98,"36,000,982",2.73
Mr R S Captain,"35,733,994",2.71,"26,950,930",2.04
Edgbaston Asian Equity Trust,"29,849,703",2.26,"33,018,476",2.50
Norges Bank Account 2,"28,394,516",2.15,"21,023,402",1.59
Aberdeen Standard Asia Focus PLC,"22,693,572",1.72,"19,793,572",1.50
Aberdeen Standard SICAV I - Asia Pacific Equity Fund,"19,898,613",1.51,"19,898,613",1.51
Mr Kandiah Balendra,"19,511,476",1.48,"20,006,476",1.52
Fidelity Fund - Pacific,"19,060,108",1.45,"19,060,108",1.45
Employees Trust Fund Board,"18,690,918",1.42,"18,834,190",1.43
Aberdeen Standard SICAV I - Asian Smaller Companies Fund,"16,763,554",1.27,"19,600,554",1.49
Mrs C S De Fonseka,"13,668,417",1.04,"13,226,598",1.00
Schroder Asian Growth Fund,"13,164,018",1.00,"11,282,414",0.86
Mrs S A J De Fonseka,"13,122,826",1.00,"13,116,826",1.00
LF Ruffer Investment Funds: LF Ruffer Pacific and Emerging Markets Fund,"11,297,899",0.86,"11,297,899",0.86
LF Ruffer Total Return Fund,"11,154,285",0.85,"11,154,285",0.85
