0,1,2,3,4,5
Director's Shareholding,,,Executive Director's Shareholding in Group Companies,,
,31 March 2022,31 March 2021,,Number of shares as at,
,,,,31 March 2022,
K Balendra*,"10,914,400","10,914,400",,,
,,,,K Balendra*,G Cooray
G Cooray,"208,587","207,105",,,
A Omar*,"100,000",-,Ceylon Cold Stores PLC,"802,320",-
N Fonseka,-,-,Asian Hotels and Properties PLC,-,"10,600"
A Cabraal,"150,137","45,137",Trans Asia Hotels PLC,-,"1,200"
P Perera,-,-,*Includes shareholding of spouse.,,
H Wijayasuriya,-,-,,,
*Includes shareholding of spouse.,,,,,
