0,1,2,3,4,5,6
Options Available to Executive Directors under the Employee Share Option Scheme,,,,,,
Year of expiry,,Krishan Balendra,,,Gihan Cooray,
,Granted,Immediately,To be vested,Granted,Immediately,To be vested
,shares,vested,,shares,vested,
,(adjusted)*,,,(adjusted)*,,
2023/24,"450,000","450,000",-,"430,000","430,000",-
2024/25,"450,000","337,500","112,500","430,000","322,500","107,500"
2025/26,"450,000","225,000","225,000","430,000","215,000","215,000"
2026/27,"450,000","112,500","337,500","430,000","107,500","322,500"
2027/28,"450,000",-,"450,000","412,000",-,"412,000"
Total,"2,250,000","1,125,000","1,125,000","2,132,000","1,075,000","1,057,000"
