0,1,2,3,4,5,6,7,8
Distribution of Shareholders,,,,,,,,
,,31 March 2024,,,,31 March 2023,,
,Number of,%,Number of,%,Number of,%,Number of,%
,shareholders,,shares held,,shareholders,,shares held,
"Less than or equal to 1,000","9,525",68,"1,863,908",0,"10,028",66,"2,139,812",0
"1,001 to 10,000","3,008",21,"10,995,300",1,"3,406",23,"12,421,138",1
"10,001 to 100,000","1,195",8,"36,555,791",2,"1,297",9,"40,535,936",3
"100,001 to 1,000,000",266,2,"79,979,916",5,267,2,"79,734,447",6
"Over 1,000,001",97,1,"1,369,424,792",91,106,1,"1,250,085,299",90
Total,"14,091",100,"1,498,819,707",100,"15,104",100,"1,384,916,632",100
