0,1,2,3,4,5,6,7,8,9,10
31 March,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
LKR Mn,,,,,,,,,,
OPERATING RESULTS,,,,,,,,,,
Group revenue,"127,676","138,956","135,456","121,215","106,273","93,710","91,852","86,706","85,408","75,924"
EBIT,"7,931","15,508","20,198","28,155","23,324","20,192","19,226","16,537","16,677","14,192"
Finance cost,"(4,669)","(3,166)","(2,722)",(521),(436),(994),(668),"(1,217)","(1,081)","(1,416)"
Share of results of equity accounted,"4,159","4,466","4,727","3,596","3,303","2,781","2,778","3,089","3,440","2,809"
investees (net of tax),,,,,,,,,,
Profit before tax,"5,445","12,403","18,616","27,634","22,888","19,198","18,557","15,320","15,595","12,778"
Tax expense,"(1,494)","(2,662)","(2,378)","(4,515)","(4,771)","(3,406)","(2,812)","(2,362)","(2,162)","(1,827)"
Profit after tax,"3,951","9,741","16,237","23,120","18,117","15,792","15,745","12,958","13,433","10,951"
Attributable to:,,,,,,,,,,
Equity holders of the parent,"4,772","9,414","15,254","21,021","16,275","14,070","14,348","11,721","12,113","9,689"
Non-controlling interests,(821),327,983,"2,099","1,842","1,722","1,397","1,237","1,320","1,262"
,"3,951","9,741","16,237","23,120","18,117","15,792","15,745","12,958","13,433","10,951"
CAPITAL EMPLOYED,,,,,,,,,,
Stated capital,"63,102","62,881","62,806","62,802","62,790","58,702","50,703","49,749","26,480","25,111"
Capital reserves and other components,"72,403","66,085","58,646","49,852","38,652","28,715","24,501","21,845","20,635","13,226"
of equity,,,,,,,,,,
Revenue reserves,"90,652","87,885","82,834","87,266","77,193","67,565","62,594","51,304","42,704","33,001"
,"226,157","216,851","204,286","199,920","178,635","154,982","137,798","122,898","89,819","71,338"
Non-controlling interest,"16,830","26,872","26,072","24,944","15,696","13,499","12,279","11,421","11,152","8,624"
Total equity,"242,987","243,723","230,358","224,864","194,331","168,481","150,077","134,319","100,971","79,962"
Total debt,"172,904","100,907","54,513","29,722","22,766","20,750","23,934","26,139","20,107","20,054"
,"415,891","344,630","284,871","254,586","217,097","189,231","174,011","160,458","121,078","100,016"
ASSETS EMPLOYED,,,,,,,,,,
"Property, plant and equipment (PP&E)","113,077","111,534","97,688","87,260","64,396","52,737","49,563","47,406","49,200","34,246"
Non-current assets other than PP&E,"257,226","204,360","170,687","136,427","107,912","93,376","78,030","71,969","59,787","52,397"
Current assets,"166,491","121,050","95,421","98,762","104,964","94,863","90,493","82,206","49,934","47,412"
Liabilities net of debt,"(120,903)","(92,314)","(78,925)","(67,862)","(60,175)","(51,745)","(44,075)","(41,123)","(37,843)","(34,039)"
,"415,891","344,630","284,871","254,587","217,097","189,231","174,011","160,458","121,078","100,016"
CASH FLOWS,,,,,,,,,,
Net cash flows from operating activities,"13,825","(10,350)","(4,743)","16,012","21,020","20,513","20,855","8,041","14,568","16,476"
Net cash flows from / (used in) investing,"(44,944)","(27,039)","(8,452)","(16,640)","(17,670)","(9,567)","(1,255)","(19,710)","(16,199)","(9,003)"
activities,,,,,,,,,,
Net cash flows from / (used in) financing,"55,427","18,431","(11,000)","(4,587)","(4,105)","(7,717)","(4,838)","25,446","(1,320)",496
activities,,,,,,,,,,
Net increase / (decrease) in cash and cash,"24,308","(18,959)","(14,709)","(5,215)",(755),"3,229","14,762","13,777","(2,951)","7,969"
equivalents,,,,,,,,,,
KEY INDICATORS,,,,,,,,,,
Basic earnings per share (Rs.),3.62,7.14,11.13,15.20,11.9,10.5,12.6,10.5,10.7,9.5
Interest cover (no. of times),1.7,4.9,7.8,54,52.8,51.5,27.7,13.6,15.4,10.0
Net assets per share** (Rs.),171.4,164.3,154.9,151.7,135.5,117.6,104.5,93.2,68.1,54.1
Enterprise value (EV),"244,679","186,236","210,020","187,926","136,022","124,182","155,675","124,182","203,615","166,143"
EV / EBITDA,15.7,9.2,8.5,5.8,5.0,5.0,6.6,10.0,10.0,13.1
ROE (%),2.2,4.5,7.5,11.1,9.8,9.6,11. 0,11.0,15.0,14.7
Debt / equity ratio (%),71.2,41.4,23.7,13.2,11.7,12.3,15.9,19.5,19.9,25.0
Dividend payout (Rs. Mn),"1,978","4,614","8,186","8,325","7,280","8,038","3,476","3,267","2,982","2,314"
Current ratio (no. of times),2.3,2.1,1.7,3.0,3.7,4.0,2.6,2.4,2.0,2.0
Market price per share unadjusted (Rs.),148.5,115.4,156.0,159.6,137.9,148.0,199.4,227.0,247.0,206.0
Market price per share diluted (Rs.),148.5,115.4,156.0,159.6,137.9,129.5,192.7,173.8,238.2,152.6
Revenue growth rate (%),-8.1,2.6,11.8,14.1,13.4,1.6,5.9,4.1,9.7,25.5
