0,1,2,3,4
Top Twenty Shareholders of the Company,,,,
,31 Mar 2021,,31 Mar 2020,
,Number of,%,Number of,%
,Shares,,Shares,
Mr S E Captain,"150,769,641",11.42,"153,211,107",11.62
Citigroup Global Markets Limited Agency Trading Prop Securities A/C,"141,854,717",10.75,"141,854,717",10.76
Melstacorp PLC,"128,917,111",9.77,"128,917,111",9.78
Paints and General Industries Limited,"114,977,303",8.71,"93,787,615",7.11
Schroder International Selection Fund,"42,475,806",3.22,"42,475,806",3.22
HWIC Asia Fund,"39,250,982",2.97,"39,250,982",2.98
Mr R S Captain,"35,544,282",2.69,"35,733,994",2.71
Norges Bank Account 2,"31,706,807",2.40,"28,394,516",2.15
Aberdeen Standard Asia Focus PLC,"23,873,572",1.81,"22,693,572",1.72
Mr Kandiah Balendra,"19,511,476",1.48,"19,511,476",1.48
Employees Trust Fund Board,"18,709,833",1.42,"18,690,918",1.42
Fidelity Fund - Pacific,"17,880,904",1.35,"19,060,108",1.45
Mrs C S De Fonseka,"16,952,586",1.28,"13,668,417",1.04
Mrs S A J De Fonseka,"15,204,230",1.15,"13,122,826",1.00
Edgbaston Asian Equity Trust,"14,809,382",1.12,"29,849,703",2.26
Chemanex PLC,"11,417,835",0.87,"5,250,569",0.40
LF Ruffer Investment Funds: LF Ruffer Pacific and Emerging Markets Fund,"11,297,899",0.86,"11,297,899",0.86
Mr K N J Balendra,"10,907,628",0.83,"10,907,628",0.83
Schroder Asian Growth Fund,"10,328,047",0.78,"13,164,018",1.00
Employee's Provident Fund,"10,159,322",0.77,"10,159,322",0.77
