0,1,2,3,4,5,6,7,8
,,Rs.million,,,,YoY %,,
2021/22,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Transportation,"1,023","1,201","1,396","2,521",159,29,50,86
Consumer Foods,318,600,"1,004","1,563",-35,-37,66,22
Retail,"1,563","1,328","2,275","2,384",211,-3,34,22
Leisure,-649,-46,"1,234","3,247",56,96,222,"4,709"
Property,542,"1,261",707,"5,356","1,978","10,290","5,037","52,732"
Financial Services,770,982,"2,111","1,161",43,51,62,0
"Other, incl. Information Technology &",,,,,,,,
Plantation Services,"1,197","1,079",803,"2,329",222,78,7,72
Group,"4,764","6,405","9,530","18,559",494,93,122,159
